student_id,age,gender,major,gpa,study_hours_per_week,satisfaction_1_5,survey_date,dorm_resident,expected_grad_year,income_range,commute_minutes,clubs_member,attendance_rate,favorite_language,comments
S10000,N/A,Male,Computer Science,,,2,2025-13-40,Yes,2027,>$100k,54,TRUE,105%,JavaScript,Love the course.
S10001,,Male,CompSci,3.75,-3,,,Yes,,,,1,,Rust,Lectures are 🔥
S10002,23,Male,Data Science,,20,5,2025-13-40,,2027,$75k-$100k,N/A,,64%,JavaScript,
S10003,N/A,Female,History,5.1,,,,No,,$25k-$50k,15,No,105%,Rust,
S10004,N/A,Female,CompSci,,0,5,2025-13-40,Yes,2029,Prefer not to say,41,No,N/A,Python,N/A
S10005,22,Male,Biology,"4,0",20,4,,,twenty28,$25k-$50k,,No,N/A,Rust,
S10006,,Prefer not to say,Business,,N/A,2,2025-09-07,N,2028,,0,FALSE,N/A,SQL,Need more examples.
S10007,,Non-binary,CompSci,3.69,,five,2025-13-40,,2027,$50k-$75k,,0,,Rust,Love the course.
S10008,,Male,History,"4,0",ten,3,10/18/2025,Yes,2026,>$100k,-5,TRUE,,Go,Love the course.
S10009,18,Female,,3.88,N/A,2,11/08/2025,N,twenty28,>$100k,N/A,1,N/A,JavaScript,Too much homework.
S10010,N/A,Non-binary,CS,N/A,ten,4,09-Sep-2025,Y,2029,>$100k,28,FALSE,74%,Python,
S10011,18,Non-binary,Data Science,,N/A,4,11/09/2025,No,twenty28,$25k-$50k,0,No,,C++,Love the course.
S10012,24,Prefer not to say,CS,3.7,,1,2025-13-40,,2027,$25k-$50k,45 min,0,,SQL,Too much homework.
S10013,25,Female,Data Science,5.1,-3,2,2025-13-40,Yes,2026,<$25k,,1,N/A,,Need more examples.
S10014,18,Female,Undeclared,N/A,N/A,5,2025-13-40,No,twenty28,$25k-$50k,N/A,No,80%,Python,Love the course.
S10015,18,,CS,5.1,,1,2025-11-05,N,2027,>$100k,45 min,1,105%,JavaScript,Love the course.
S10016,18,,Data Science,"4,0",-3,,10/04/2025,No,,$25k-$50k,0,Yes,,Rust,
S10017,19,Male,CS,"4,0",,five,,,2028,$50k-$75k,45 min,,105%,Java,Lectures are 🔥
S10018,twenty,Non-binary,,5.1,-3,1,,,2027,$25k-$50k,,FALSE,,Java,
S10019,,Female,Business,3.75,12.5,five,02-Nov-2025,Y,2027,Prefer not to say,N/A,TRUE,,Go,Love the course.
S10020,20,Prefer not to say,CompSci,"4,0",,2,11/28/2025,Yes,2026,,,1,,Python,Too much homework.
S10021,18,Non-binary,Biology,3.75,20,five,,No,2028,$25k-$50k,,1,N/A,Java,Love the course.
S10022,N/A,Female,History,3.75,0,1,10/31/2025,N,twenty28,$50k-$75k,45 min,No,,JavaScript,Love the course.
S10023,22,Male,History,"4,0",-3,,2025-09-04,,2028,>$100k,33,FALSE,,SQL,
S10024,24,,CompSci,"4,0",12.5,1,,Y,2029,$50k-$75k,,,,Go,
S10025,,Non-binary,Undeclared,3.75,-3,3,,No,2030,Prefer not to say,N/A,1,,Python,
S10026,21,Prefer not to say,,,N/A,N/A,11/26/2025,Yes,twenty28,,,,,Go,
S10027,N/A,Non-binary,Biology,,0,4,,Y,twenty28,$75k-$100k,45 min,1,,SQL,Need more examples.
S10028,N/A,Male,Data Science,,-3,N/A,,N,2027,$75k-$100k,-5,,105%,,N/A
S10029,24,,CS,3.75,N/A,N/A,10/04/2025,No,,,-5,No,,,Lectures are 🔥
S10030,21,Non-binary,Business,"4,0",,3,,No,2028,Prefer not to say,,1,N/A,Go,Need more examples.
S10031,24,Male,Biology,N/A,28,,2025-11-01,,,,0,No,N/A,JavaScript,Need more examples.
S10032,25,Male,Undeclared,3.75,0,3,10/30/2025,Yes,2026,$75k-$100k,75,FALSE,N/A,SQL,
S10033,20,Male,History,,20,,19-Oct-2025,,,,-5,TRUE,,Python,
S10034,N/A,Male,Computer Science,,6,3,10/01/2025,,2027,>$100k,-5,,105%,Go,N/A
S10035,,Male,Math,3.92,18,5,2025-13-40,,2030,Prefer not to say,,No,98%,Rust,Love the course.
S10036,,Male,Business,3.75,,five,22-Nov-2025,Y,2030,,,1,N/A,,Lectures are 🔥
S10037,20,,History,"4,0",N/A,N/A,2025-13-40,Yes,,$50k-$75k,,,105%,JavaScript,Need more examples.
S10038,,Prefer not to say,Business,5.1,,N/A,28-Sep-2025,,,$50k-$75k,N/A,TRUE,,JavaScript,
S10039,twenty,Prefer not to say,CS,,N/A,N/A,2025-10-28,Y,,$25k-$50k,45 min,,105%,Go,
S10040,,Non-binary,Undeclared,"4,0",20,N/A,05-Oct-2025,,2029,<$25k,15,FALSE,,Java,
S10041,twenty,Prefer not to say,History,5.1,12.5,2,25-Sep-2025,N,,$25k-$50k,38,Yes,105%,Python,Lectures are 🔥
S10042,22,Female,CS,2.03,12.5,N/A,,,2028,<$25k,-5,FALSE,N/A,C++,N/A
S10043,19,,Computer Science,5.1,12.5,2,2025-10-02,Yes,2030,>$100k,45 min,1,105%,,Need more examples.
S10044,24,Non-binary,,"4,0",,4,11/20/2025,,2027,$25k-$50k,,FALSE,N/A,Python,Too much homework.
S10045,twenty,,CS,,12.5,N/A,2025-13-40,N,,,45 min,1,,JavaScript,Love the course.
